AWAY TEAM,HOME TEAM,Location / Weather,Date
Dallas Cowboys,San Francisco 49ers,"Levi's Stadium, Santa Clara, CA",8-Oct
Houston Texans,Atlanta Falcons,"Mercedes-Benz Stadium, Atlanta, GA",8-Oct
Jacksonville Jaguars,Buffalo Bills,"Tottenham Hotspur Stadium, London",8-Oct
Kansas City Chiefs,Minnesota Vikings,"U.S. Bank Stadium, Minneapolis, MN",8-Oct
New Orleans Saints,New England Patriots,"Gillette Stadium, Foxboro, MA",8-Oct
New York Jets,Miami Dolphins,"Hard Rock Stadium, Miami Gardens, FL",8-Oct
New York Giants,Denver Broncos,"Empower Field at Mile High, Denver, CO",8-Oct
Tennessee Titans,Indianapolis Colts,"Lucas Oil Stadium, Indianapolis, IN",8-Oct
Green Bay Packers,Las Vegas Raiders,"Allegiant Stadium, Las Vegas, NV",9-Oct
Denver Broncos,Kansas City Chiefs,"GEHA Field at Arrowhead Stadium, Kansas City, MO",12-Oct
Baltimore Ravens,Tennessee Titans,"Tottenham Hotspur Stadium, London",15-Oct
Carolina Panthers,Miami Dolphins,"Hard Rock Stadium, Miami Gardens, FL",15-Oct
Arizona Cardinals,Los Angeles Rams,"SoFi Stadium, Inglewood, CA",15-Oct
Detroit Lions,Tampa Bay Buccaneers,"Raymond James Stadium, Tampa, FL",15-Oct
Indianapolis Colts,Jacksonville Jaguars,"TIAA Bank Field, Jacksonville, FL",15-Oct
Minnesota Vikings,Chicago Bears,"Soldier Field, Chicago, IL",15-Oct
New England Patriots,Las Vegas Raiders,"Allegiant Stadium, Las Vegas, NV",15-Oct
New Orleans Saints,Houston Texans,"NRG Stadium, Houston, TX",15-Oct
New York Giants,Buffalo Bills,"Highmark Stadium, Orchard Park, NY",15-Oct
Philadelphia Eagles,New York Jets,"MetLife Stadium, East Rutherford, NJ",15-Oct
San Francisco 49ers,Cleveland Browns,"Cleveland Browns Stadium, Cleveland, OH",15-Oct
Seattle Seahawks,Cincinnati Bengals,"Paycor Stadium, Cincinnati, OH",15-Oct
Washington Commanders,Atlanta Falcons,"Mercedes-Benz Stadium, Atlanta, GA",15-Oct
Dallas Cowboys,Los Angeles Chargers,"SoFi Stadium, Inglewood, CA",16-Oct
Jacksonville Jaguars,New Orleans Saints,"Caesars Superdome, New Orleans, LA",19-Oct
Arizona Cardinals,Seattle Seahawks,"Lumen Field, Seattle, WA",22-Oct
